rmse,rmsle,percentage_of_train_cases,time
683366.9261143903,0.3101927321191576,0.9,0.015487432479858398
852415.0317005768,0.44033171884159933,0.9,0.013352632522583008
828490.3802532143,0.4425085798862604,0.9,0.01941061019897461
993882.5934966096,0.44107847476646345,0.9,0.008527040481567383
752796.2927619916,0.33779459048639393,0.9,0.00781702995300293
854569.293366013,0.44552981970443545,0.9,0.008123397827148438
650278.8422762001,0.3244059792100776,0.9,0.01191854476928711
842092.3818677954,0.4097499193349369,0.9,0.012983322143554688
1151403.4704570097,0.5319979290990753,0.9,0.007720232009887695
932391.9424534405,0.35535669490512534,0.9,0.01331782341003418
809442.2412179844,0.43327077186988117,0.9,0.007979393005371094
835212.8242946722,0.36097138765426623,0.9,0.012213706970214844
1079325.0892114462,0.37332663920654535,0.9,0.008171796798706055
971786.0007527398,0.31113519853030275,0.9,0.00783395767211914
872340.8954811629,0.4595975844701915,0.9,0.015820026397705078
1165409.9162264059,0.47098473759451026,0.9,0.01316976547241211
716987.4251320449,0.3672135521091624,0.9,0.013271570205688477
849128.3817555996,0.40853168020712327,0.9,0.010818004608154297
1048095.306102063,0.4186812023019431,0.9,0.014312505722045898
800338.2705645196,0.3867379667356149,0.9,0.014419794082641602
898279.3919365101,0.33572815044198245,0.9,0.007709503173828125
711515.2143387459,0.3128491778920175,0.9,0.008648872375488281
920369.3697870681,0.3956050926074318,0.9,0.009100198745727539
730086.4517660803,0.36975327653607715,0.9,0.016806602478027344
775591.726920945,0.3658724122032863,0.9,0.007547855377197266
788896.1379514545,0.3240266021616019,0.9,0.00763702392578125
834488.322117209,0.35159911488617823,0.9,0.01291513442993164
1045604.2280332441,0.4096774039358185,0.9,0.016388654708862305
943706.2636842134,0.3918846468046002,0.9,0.013087987899780273
991193.8747876561,0.3552392895115777,0.9,0.010296344757080078
