rmse,rmsle,percentage_of_train_cases,time
1439577.557150641,0.44442141959950543,0.9,0.008070230484008789
1150248.512121943,0.49251988182307893,0.9,0.007381916046142578
1131840.27013632,0.4865704091762678,0.9,0.01754474639892578
1038117.0335308379,0.46294318417121216,0.9,0.007444143295288086
1000068.8931954019,0.4285343652049596,0.9,0.016912460327148438
973459.2327277962,0.438336634394813,0.9,0.014021873474121094
1226564.3811441972,0.4790313796812505,0.9,0.012570619583129883
1016609.4906561176,0.5201496011908608,0.9,0.015957117080688477
1128090.2674242437,0.42946776500647355,0.9,0.007062196731567383
1145813.2191393601,0.4701009641178342,0.9,0.015413284301757812
1302470.3653977262,0.5090854004261063,0.9,0.00741887092590332
1434294.1305288994,0.49971393640799994,0.9,0.016059398651123047
1411824.4983000176,0.4110854369689686,0.9,0.007368326187133789
1509747.0406389749,0.5285843574284801,0.9,0.011736631393432617
932533.3982239662,0.3983863072498348,0.9,0.01541757583618164
1052012.1075729558,0.4856215110400912,0.9,0.008188486099243164
1221813.5514698706,0.4562367855271239,0.9,0.012568950653076172
1093267.8629073917,0.4367037038498945,0.9,0.011495590209960938
1355498.9011551633,0.5026821264106297,0.9,0.013132095336914062
1305552.5275978025,0.5065585486438048,0.9,0.012563228607177734
997731.7448739534,0.45445689499416075,0.9,0.016252517700195312
1025912.0186745415,0.35066362124403244,0.9,0.01032567024230957
1242948.3924482956,0.38438032202583605,0.9,0.016868114471435547
1060007.3327404,0.4502496545033753,0.9,0.018314123153686523
1151523.7474900486,0.47559068203136934,0.9,0.008675098419189453
1078848.6622529698,0.4243248888519676,0.9,0.007528066635131836
1329671.4315721623,0.4536532613701894,0.9,0.012517690658569336
1487868.6173467718,0.4271342664064685,0.9,0.007523059844970703
1068297.0664478445,0.48127267012245273,0.9,0.016274452209472656
1035603.3796964982,0.3533364352311999,0.9,0.01577448844909668
