rmse,rmsle,percentage_of_train_cases,time
1031403.6480620238,0.4235360756207847,0.85,0.008018732070922852
917310.4650547171,0.43166390061856746,0.85,0.006352424621582031
704459.491728125,0.32808381336818887,0.85,0.009436607360839844
810252.4507485211,0.351331716188885,0.85,0.005984306335449219
1075079.0708626506,0.33815188719659167,0.85,0.008974552154541016
650695.4085739831,0.30626477003902935,0.85,0.007447481155395508
820565.9327085065,0.37317247401184345,0.85,0.007352590560913086
1405135.9108801621,0.3994991009225508,0.85,0.006631374359130859
1112660.3788881977,0.3214486664504025,0.85,0.0071277618408203125
702022.5182865986,0.38990504004946996,0.85,0.006501197814941406
968050.7466141309,0.39664755336396385,0.85,0.005853176116943359
1013747.1656754216,0.3009315579831186,0.85,0.006142616271972656
815880.8225507772,0.3545591088366465,0.85,0.00896596908569336
1054712.082920784,0.3702877581875859,0.85,0.0067098140716552734
961293.9962960155,0.3855897819041255,0.85,0.006457805633544922
810992.3080348325,0.3929250968106263,0.85,0.0064547061920166016
1077143.7745874855,0.42634550971662527,0.85,0.005505561828613281
977596.757367038,0.3326739652000513,0.85,0.005738973617553711
866397.2631868196,0.2836168217773377,0.85,0.007953166961669922
986671.6625546792,0.29901180558639934,0.85,0.006543159484863281
796930.7563205482,0.3896944184002577,0.85,0.006064176559448242
853916.239703937,0.3878671345424092,0.85,0.006438732147216797
512215.2947824237,0.2289696892472107,0.85,0.007679462432861328
861619.5216963822,0.3850964159158245,0.85,0.006629228591918945
984815.4034684912,0.42266373444340305,0.85,0.006731986999511719
1015729.8382410818,0.3750574775533454,0.85,0.007323265075683594
1299404.5589150058,0.3927646663460171,0.85,0.005614042282104492
848845.4061160961,0.333770035716946,0.85,0.0060961246490478516
925445.0309821634,0.25477659118041107,0.85,0.006913185119628906
764113.2173085616,0.33305772686249885,0.85,0.008270978927612305
