rmse,rmsle,percentage_of_train_cases,time
1280674.5894805258,0.3872716393822641,0.85,0.0061800479888916016
1358599.2285535554,0.41279686500952595,0.85,0.007023334503173828
1178684.1003676297,0.4343723198986875,0.85,0.006868124008178711
1246811.2196192972,0.5572306645103237,0.85,0.007460117340087891
1366143.943239513,0.41159888377408793,0.85,0.007482767105102539
1122136.4427000305,0.34723432721663816,0.85,0.0072286128997802734
1090777.0848336532,0.4351483543346991,0.85,0.006026506423950195
1214592.263228745,0.4537998248378105,0.85,0.006827116012573242
1272024.2375761552,0.4307522938248472,0.85,0.006235361099243164
1514520.3484805003,0.5148254243264742,0.85,0.006689310073852539
1390300.110281224,0.4103586092163657,0.85,0.006359577178955078
1631521.1564641185,0.5078770442455495,0.85,0.006929874420166016
1371225.81781314,0.3866971100976906,0.85,0.007203340530395508
1413956.1746550186,0.47072558845359885,0.85,0.007877349853515625
1510621.3725027873,0.5691886299820018,0.85,0.005700588226318359
1669394.8468027199,0.583946253551486,0.85,0.006002902984619141
1153599.1649743821,0.3308331113127682,0.85,0.00655674934387207
1245645.0768392822,0.44437972187104635,0.85,0.007510185241699219
1425058.4551739192,0.4402095438231936,0.85,0.005837678909301758
1309355.8712228052,0.45077284692107566,0.85,0.0067462921142578125
1332699.0702027231,0.3863549640658597,0.85,0.007294416427612305
902277.0174488573,0.35285027337239583,0.85,0.005767107009887695
1126959.2636612402,0.41854191619151576,0.85,0.007433891296386719
1374081.6348907202,0.44486767658892956,0.85,0.006454944610595703
1341705.2261785776,0.4689621573033011,0.85,0.0070989131927490234
1256778.8746038442,0.44951248032960395,0.85,0.006895780563354492
1209747.5684314235,0.5318777876132622,0.85,0.006471872329711914
1949500.1606665547,0.6467765777164746,0.85,0.010977506637573242
1290975.2875259933,0.4135114733911552,0.85,0.008130788803100586
1216023.305996989,0.40836474389625693,0.85,0.007195472717285156
