rmse,rmsle,percentage_of_train_cases,time
1365860.0471111557,0.4258780340475999,0.9,0.014284133911132812
1301467.8785381655,0.41544031393893716,0.9,0.009576559066772461
1228281.1146004724,0.44125230684999966,0.9,0.012404680252075195
1402821.4185943205,0.5703629044351443,0.9,0.016901493072509766
1059056.2626435289,0.4075639827221037,0.9,0.014346599578857422
1044872.2468649119,0.359248504728553,0.9,0.008611679077148438
1156418.5233934976,0.43301501751752935,0.9,0.008992433547973633
1201894.9067780059,0.5053536965322134,0.9,0.013048887252807617
1101646.7909010986,0.44184095534550955,0.9,0.020860671997070312
1616146.2161507227,0.5885486155634452,0.9,0.014400005340576172
1386606.6330427525,0.3687666398493391,0.9,0.008632659912109375
1687528.244891774,0.561833472183836,0.9,0.015372276306152344
1384007.6840920798,0.4023926144572998,0.9,0.007607936859130859
1534763.207457286,0.47631208419274895,0.9,0.015753746032714844
1205759.3307772304,0.4410088706428404,0.9,0.016412973403930664
1241479.8066688587,0.3716934735521773,0.9,0.0170285701751709
1287716.3466145343,0.32346819580909425,0.9,0.01606583595275879
1346999.9865659839,0.4550583337918219,0.9,0.016452550888061523
1545161.4542099626,0.48676497294433124,0.9,0.012245655059814453
1344548.872923517,0.4917530101986256,0.9,0.01376795768737793
1115499.1244606422,0.37852103012394683,0.9,0.010914802551269531
958880.7799275974,0.36593529146052645,0.9,0.010891199111938477
1023727.7445908434,0.42835999042624995,0.9,0.012021303176879883
1408653.4977126156,0.5038358371753511,0.9,0.012761831283569336
1161725.0726425848,0.4333386549793612,0.9,0.008532285690307617
1203872.4892880174,0.48777419231159475,0.9,0.01217198371887207
1291873.1906891023,0.5384480950751876,0.9,0.009095191955566406
1652683.3234774268,0.4683005364655546,0.9,0.015653371810913086
1449455.493606872,0.4612764363658521,0.9,0.010350942611694336
1302965.449322758,0.4251314970799951,0.9,0.013406753540039062
