rmse,rmsle,percentage_of_train_cases,time
853798.4401389939,0.4575126688161376,0.9,0.010968685150146484
1117297.4857364004,0.5767285817518296,0.9,0.00935053825378418
1008730.2005949263,0.5524023423579116,0.9,0.008681297302246094
1037865.9198222305,0.5238627720204608,0.9,0.009888887405395508
766277.0558485917,0.45489886952439346,0.9,0.014464139938354492
1016561.4770923037,0.5611356651136663,0.9,0.010376214981079102
1038652.625052601,0.47876597211737854,0.9,0.009374380111694336
1115758.6626704696,0.5121655924688606,0.9,0.014947175979614258
1129848.3850051307,0.8246435817975125,0.9,0.009284496307373047
1129329.0649331096,0.49010524881395795,0.9,0.014940500259399414
983977.9996411757,0.5072023556550589,0.9,0.01500558853149414
1014805.2236026245,0.4788990179924126,0.9,0.014571428298950195
1022587.1593366156,0.4239941647738846,0.9,0.016413450241088867
1242695.428973519,0.4823052187196925,0.9,0.014271259307861328
1254024.6758429187,0.5269107956961283,0.9,0.015519142150878906
1213764.5610457475,0.49934752860939013,0.9,0.015405416488647461
908961.7033568184,0.4492514560623862,0.9,0.010300159454345703
977707.4879020958,0.5001756134339537,0.9,0.01012873649597168
1309816.5917144602,0.5744899499524787,0.9,0.01123046875
957186.2078521153,0.4168461128283558,0.9,0.01132512092590332
1004414.8126565245,0.45045207434225826,0.9,0.013792037963867188
1021821.9771251143,0.4770351998175405,0.9,0.013643503189086914
1096182.1214269216,0.5042809485524202,0.9,0.010183572769165039
973902.93055188,0.5526179896105485,0.9,0.012410640716552734
965985.1656300683,0.42652833665232,0.9,0.016376972198486328
992376.7502936822,0.5371131052847864,0.9,0.01032710075378418
994639.2520531671,0.49072196348887065,0.9,0.020652055740356445
1260242.1018105696,0.5712265423260714,0.9,0.018749713897705078
1042619.5182497508,0.4849723017518943,0.9,0.014390707015991211
1161611.3654675668,0.4911410336701085,0.9,0.010631084442138672
